br	São Paulo	10021437	-23.473293	-46.665803
cd	Kinshasa	7787832	-4.3	15.3
cn	Peking	7480601	39.928889	116.388333
cn	Shanghai	14608512	31.045556	121.399722
co	Bogotá	7102602	4.649178	-74.062827
eg	Cairo	7734602	30.05	31.25
gb	London	7421228	51.514125	-0.093689
id	Jakarta	8540306	-6.174444	106.829444
in	Bombay	12692717	18.975	72.825833
in	Delhi	10928270	28.666667	77.216667
in	New Delhi	10928270	28.6	77.2
jp	Tokyo	31480498	35.685	139.751389
kr	Seoul	10323448	37.5985	126.9783
mx	Mexico	8720916	19.434167	-99.138611
ng	Lagos	8789133	6.453056	3.395833
pe	Lima	7646786	-12.05	-77.05
ph	Manila	10443877	14.6042	120.9822
pk	Karachi	11627378	24.9056	67.0822
ru	Moscow	10381288	55.752222	37.615556
tr	Istanbul	9797536	41.018611	28.964722
us	New York	8107916	40.7141667	-74.0063889
